customerID,companyName,contactName,contactTitle,phone,fax,country,region,city,postalCode,address
FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,011-4988260,011-4988261,Italy,NULL,Torino,10100,Via Monte Bianco 34
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,(1) 354-2534,(1) 354-2535,Portugal,NULL,Lisboa,1675,Jardim das rosas n. 32
GALED,Galería del gastrónomo,Eduardo Saavedra,Marketing Manager,(93) 203 4560,(93) 203 4561,Spain,NULL,Barcelona,8022,"Rambla de Cataluña, 23"
GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,(95) 555 82 82,NULL,Spain,NULL,Sevilla,41101,"C/ Romero, 33"
GOURL,Gourmet Lanchonetes,André Fonseca,Sales Associate,(11) 555-9482,NULL,Brazil,SP,Campinas,04876-786,"Av. Brasil, 442"
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,(503) 555-7555,NULL,USA,OR,Eugene,97403,2732 Baker Blvd.
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,(2) 283-2951,(2) 283-3397,Venezuela,DF,Caracas,1081,5ª Ave. Los Palos Grandes
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,(21) 555-0091,(21) 555-8765,Brazil,RJ,Rio de Janeiro,05454-876,"Rua do Paço, 67"
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,(5) 555-1340,(5) 555-1948,Venezuela,Táchira,San Cristóbal,5022,Carrera 22 con Ave. Carlos Soublette #8-35
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,(503) 555-6874,(503) 555-2376,USA,OR,Elgin,97827,City Center Plaza 516 Main St.
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,2967 542,2967 3333,Ireland,Co. Cork,Cork,NULL,8 Johnstown Road
ISLAT,Island Trading,Helen Bennett,Marketing Manager,(198) 555-8888,NULL,UK,Isle of Wight,Cowes,PO31 7PJ,Garden House Crowther Way
KOENE,Königlich Essen,Philip Cramer,Sales Associate,0555-09876,NULL,Germany,NULL,Brandenburg,14776,Maubelstr. 90
LACOR,La corne d'abondance,Daniel Tonini,Sales Representative,30.59.84.10,30.59.85.11,France,NULL,Versailles,78000," 67, avenue de l'Europe"
LAMAI,La maison d'Asie,Annette Roulet,Sales Manager,61.77.61.10,61.77.61.11,France,NULL,Toulouse,31000,1 rue Alsace-Lorraine
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,(604) 555-3392,(604) 555-7293,Canada,BC,Vancouver,V3F 2K1,1900 Oak St.
LAZYK,Lazy K Kountry Store,John Steel,Marketing Manager,(509) 555-7969,(509) 555-6221,USA,WA,Walla Walla,99362,12 Orchestra Terrace
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,069-0245984,069-0245874,Germany,NULL,Frankfurt a.M.,60528,Magazinweg 7
LETSS,Let's Stop N Shop,Jaime Yorres,Owner,(415) 555-5938,NULL,USA,CA,San Francisco,94117,87 Polk St. Suite 5
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,(9) 331-6954,(9) 331-7256,Venezuela,Lara,Barquisimeto,3508,Carrera 52 con Ave. Bolívar #65-98 Llano Largo
LINOD,LINO-Delicateses,Felipe Izquierdo,Owner,(8) 34-56-12,(8) 34-93-93,Venezuela,Nueva Esparta,I. de Margarita,4980,Ave. 5 de Mayo Porlamar
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,(503) 555-9573,(503) 555-9646,USA,OR,Portland,97219,89 Chiaroscuro Rd.
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,035-640230,035-640231,Italy,NULL,Bergamo,24100,Via Ludovico il Moro 22
MAISD,Maison Dewey,Catherine Dewey,Sales Agent,(02) 201 24 67,(02) 201 24 68,Belgium,NULL,Bruxelles,B-1180,Rue Joseph-Bens 532
MEREP,Mère Paillarde,Jean Fresnière,Marketing Assistant,(514) 555-8054,(514) 555-8055,Canada,Québec,Montréal,H1J 1C3,43 rue St. Laurent
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,0342-023176,NULL,Germany,NULL,Leipzig,4179,Heerstr. 22
NORTS,North/South,Simon Crowther,Sales Associate,(171) 555-7733,(171) 555-2530,UK,NULL,London,SW7 1RZ,South House 300 Queensbridge
OCEAN,Océano Atlántico Ltda.,Yvonne Moncada,Sales Agent,(1) 135-5333,(1) 135-5535,Argentina,NULL,Buenos Aires,1010,Ing. Gustavo Moncada 8585 Piso 20-A
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,(907) 555-7584,(907) 555-2880,USA,AK,Anchorage,99508,2743 Bering St.
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,0221-0644327,0221-0765721,Germany,NULL,Köln,50739,Mehrheimerstr. 369
PARIS,Paris spécialités,Marie Bertrand,Owner,(1) 42.34.22.66,(1) 42.34.22.77,France,NULL,Paris,75012,"265, boulevard Charonne"
PERIC,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,(5) 552-3745,(5) 545-3745,Mexico,NULL,México D.F.,5033,Calle Dr. Jorge Cash 321
PICCO,Piccolo und mehr,Georg Pipps,Sales Manager,6562-9722,6562-9723,Austria,NULL,Salzburg,5020,Geislweg 14
PRINI,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,(1) 356-5634,NULL,Portugal,NULL,Lisboa,1756,Estrada da saúde n. 58
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,(21) 555-4252,(21) 555-4545,Brazil,RJ,Rio de Janeiro,02389-673,"Rua da Panificadora, 12"
QUEEN,Queen Cozinha,Lúcia Carvalho,Marketing Assistant,(11) 555-1189,NULL,Brazil,SP,Sao Paulo,05487-020,"Alameda dos Canàrios, 891"
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,0372-035188,NULL,Germany,NULL,Cunewalde,1307,Taucherstraße 10
RANCH,Rancho grande,Sergio Gutiérrez,Sales Representative,(1) 123-5555,(1) 123-5556,Argentina,NULL,Buenos Aires,1010,Av. del Libertador 900
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,(505) 555-5939,(505) 555-3620,USA,NM,Albuquerque,87110,2817 Milton Dr.
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,0522-556721,0522-556722,Italy,NULL,Reggio Emilia,42100,Strada Provinciale 124
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,(21) 555-3412,NULL,Brazil,RJ,Rio de Janeiro,02389-890,"Av. Copacabana, 267"
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,0897-034214,NULL,Switzerland,NULL,Genève,1203,Grenzacherweg 237
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,(91) 745 6200,(91) 745 6210,Spain,NULL,Madrid,28001,"Gran Vía, 1"
SANTG,Santé Gourmet,Jonas Bergulfsen,Owner,07-98 92 35,07-98 92 47,Norway,NULL,Stavern,4110,Erling Skakkes gate 78
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,(208) 555-8097,NULL,USA,ID,Boise,83720,187 Suffolk Ln.
SEVES,Seven Seas Imports,Hari Kumar,Sales Manager,(171) 555-1717,(171) 555-5646,UK,NULL,London,OX15 4NB,90 Wadhurst Rd.
SIMOB,Simons bistro,Jytte Petersen,Owner,31 12 34 56,31 13 35 57,Denmark,NULL,Kobenhavn,1734,Vinbæltet 34
SPECD,Spécialités du monde,Dominique Perrier,Marketing Manager,(1) 47.55.60.10,(1) 47.55.60.20,France,NULL,Paris,75016,"25, rue Lauriston"
SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,(307) 555-4680,(307) 555-6525,USA,WY,Lander,82520,P.O. Box 555
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,(071) 23 67 22 20,(071) 23 67 22 21,Belgium,NULL,Charleroi,B-6000,"Boulevard Tirou, 255"
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,(503) 555-3612,NULL,USA,OR,Portland,97201,89 Jefferson Way Suite 2
THECR,The Cracker Box,Liu Wong,Marketing Assistant,(406) 555-5834,(406) 555-8083,USA,MT,Butte,59801,55 Grizzly Peak Rd.
TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,0251-031259,0251-035695,Germany,NULL,Münster,44087,Luisenstr. 48
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,(5) 555-2933,NULL,Mexico,NULL,México D.F.,5033,Avda. Azteca 123
TRADH,Tradição Hipermercados,Anabela Domingues,Sales Representative,(11) 555-2167,(11) 555-2168,Brazil,SP,Sao Paulo,05634-030,"Av. Inês de Castro, 414"
TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,(206) 555-8257,(206) 555-2174,USA,WA,Kirkland,98034,722 DaVinci Blvd.
VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,86 21 32 43,86 22 33 44,Denmark,NULL,Århus,8200,Smagsloget 45
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,78.32.54.86,78.32.54.87,France,NULL,Lyon,69004," 2, rue du Commerce"
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,26.47.15.10,26.47.15.11,France,NULL,Reims,51100,59 rue de l'Abbaye
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,0711-020361,0711-035428,Germany,NULL,Stuttgart,70563,Adenauerallee 900
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,981-443655,981-443655,Finland,NULL,Oulu,90110,Torikatu 38
WELLI,Wellington Importadora,Paula Parente,Sales Manager,(14) 555-8122,NULL,Brazil,SP,Resende,08737-363,"Rua do Mercado, 12"
WHITC,White Clover Markets,Karl Jablonski,Owner,(206) 555-4112,(206) 555-4115,USA,WA,Seattle,98128,305 - 14th Ave. S. Suite 3B
WILMK,Wilman Kala,Matti Karttunen,Owner/Marketing Assistant,90-224 8858,90-224 8858,Finland,NULL,Helsinki,21240,Keskuskatu 45
WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,(26) 642-7012,(26) 642-7012,Poland,NULL,Warszawa,01-012,ul. Filtrowa 68
